time_from_start_s,level,message
0.00,INFO,"Mister pulse started; ON until 0.25s, cooldown until 4.25s"
5.02,INFO,"Mister pulse started; ON until 5.27s, cooldown until 9.27s"
10.03,INFO,"Mister pulse started; ON until 10.28s, cooldown until 14.28s"
15.04,INFO,"Mister pulse started; ON until 15.29s, cooldown until 19.29s"
20.00,INFO,"Mister pulse started; ON until 20.25s, cooldown until 24.25s"
25.01,INFO,"Mister pulse started; ON until 25.26s, cooldown until 29.26s"
30.02,INFO,"Mister pulse started; ON until 30.27s, cooldown until 34.27s"
35.03,INFO,"Mister pulse started; ON until 35.28s, cooldown until 39.28s"
40.04,INFO,"Mister pulse started; ON until 40.29s, cooldown until 44.29s"
45.01,INFO,"Mister pulse started; ON until 45.26s, cooldown until 49.26s"
50.02,INFO,"Mister pulse started; ON until 50.27s, cooldown until 54.27s"
55.02,INFO,"Mister pulse started; ON until 55.27s, cooldown until 59.27s"
60.03,INFO,"Mister pulse started; ON until 60.28s, cooldown until 64.28s"
65.04,INFO,"Mister pulse started; ON until 65.29s, cooldown until 69.29s"
70.05,INFO,"Mister pulse started; ON until 70.30s, cooldown until 74.30s"
75.00,INFO,"Mister pulse started; ON until 75.25s, cooldown until 79.25s"
80.01,INFO,"Mister pulse started; ON until 80.26s, cooldown until 84.26s"
85.02,INFO,"Mister pulse started; ON until 85.27s, cooldown until 89.27s"
90.02,INFO,"Mister pulse started; ON until 90.27s, cooldown until 94.27s"
95.04,INFO,"Mister pulse started; ON until 95.29s, cooldown until 99.29s"
100.05,INFO,"Mister pulse started; ON until 100.30s, cooldown until 104.30s"
105.00,INFO,"Mister pulse started; ON until 105.25s, cooldown until 109.25s"
110.01,INFO,"Mister pulse started; ON until 110.26s, cooldown until 114.26s"
115.02,INFO,"Mister pulse started; ON until 115.27s, cooldown until 119.27s"
120.03,INFO,"Mister pulse started; ON until 120.28s, cooldown until 124.28s"
125.04,INFO,"Mister pulse started; ON until 125.29s, cooldown until 129.29s"
163.03,INFO,"Mister pulse started; ON until 163.28s, cooldown until 167.28s"
168.04,INFO,"Mister pulse started; ON until 168.29s, cooldown until 172.29s"
204.03,INFO,"Mister pulse started; ON until 204.28s, cooldown until 208.28s"
209.03,INFO,"Mister pulse started; ON until 209.28s, cooldown until 213.28s"
253.02,INFO,"Mister pulse started; ON until 253.27s, cooldown until 257.27s"
258.03,INFO,"Mister pulse started; ON until 258.28s, cooldown until 262.28s"
292.00,INFO,"Mister pulse started; ON until 292.25s, cooldown until 296.25s"
297.01,INFO,"Mister pulse started; ON until 297.26s, cooldown until 301.26s"
332.00,INFO,"Mister pulse started; ON until 332.25s, cooldown until 336.25s"
337.01,INFO,"Mister pulse started; ON until 337.26s, cooldown until 341.26s"
373.04,INFO,"Mister pulse started; ON until 373.29s, cooldown until 377.29s"
378.05,INFO,"Mister pulse started; ON until 378.30s, cooldown until 382.30s"
412.01,INFO,"Mister pulse started; ON until 412.26s, cooldown until 416.26s"
417.02,INFO,"Mister pulse started; ON until 417.27s, cooldown until 421.27s"
451.03,INFO,"Mister pulse started; ON until 451.28s, cooldown until 455.28s"
456.04,INFO,"Mister pulse started; ON until 456.29s, cooldown until 460.29s"
503.01,INFO,"Mister pulse started; ON until 503.26s, cooldown until 507.26s"
508.02,INFO,"Mister pulse started; ON until 508.27s, cooldown until 512.27s"
537.04,INFO,"Mister pulse started; ON until 537.29s, cooldown until 541.29s"
542.04,INFO,"Mister pulse started; ON until 542.29s, cooldown until 546.29s"
581.02,INFO,"Mister pulse started; ON until 581.27s, cooldown until 585.27s"
586.03,INFO,"Mister pulse started; ON until 586.28s, cooldown until 590.28s"
628.05,INFO,"Mister pulse started; ON until 628.30s, cooldown until 632.30s"
633.01,INFO,"Mister pulse started; ON until 633.26s, cooldown until 637.26s"
671.04,INFO,"Mister pulse started; ON until 671.29s, cooldown until 675.29s"
676.00,INFO,"Mister pulse started; ON until 676.25s, cooldown until 680.25s"
710.02,INFO,"Mister pulse started; ON until 710.27s, cooldown until 714.27s"
715.02,INFO,"Mister pulse started; ON until 715.27s, cooldown until 719.27s"
745.02,INFO,"Mister pulse started; ON until 745.27s, cooldown until 749.27s"
750.03,INFO,"Mister pulse started; ON until 750.28s, cooldown until 754.28s"
794.00,INFO,"Mister pulse started; ON until 794.25s, cooldown until 798.25s"
799.01,INFO,"Mister pulse started; ON until 799.26s, cooldown until 803.26s"
834.05,INFO,"Mister pulse started; ON until 834.30s, cooldown until 838.30s"
839.01,INFO,"Mister pulse started; ON until 839.26s, cooldown until 843.26s"
886.03,INFO,"Mister pulse started; ON until 886.28s, cooldown until 890.28s"
891.04,INFO,"Mister pulse started; ON until 891.29s, cooldown until 895.29s"
921.04,INFO,"Mister pulse started; ON until 921.29s, cooldown until 925.29s"
926.05,INFO,"Mister pulse started; ON until 926.30s, cooldown until 930.30s"
973.02,INFO,"Mister pulse started; ON until 973.27s, cooldown until 977.27s"
978.02,INFO,"Mister pulse started; ON until 978.27s, cooldown until 982.27s"
1008.02,INFO,"Mister pulse started; ON until 1008.27s, cooldown until 1012.27s"
1013.03,INFO,"Mister pulse started; ON until 1013.28s, cooldown until 1017.28s"
1057.01,INFO,"Mister pulse started; ON until 1057.26s, cooldown until 1061.26s"
1062.02,INFO,"Mister pulse started; ON until 1062.27s, cooldown until 1066.27s"
1096.05,INFO,"Mister pulse started; ON until 1096.30s, cooldown until 1100.30s"
1101.00,INFO,"Mister pulse started; ON until 1101.25s, cooldown until 1105.25s"
1151.03,INFO,"Mister pulse started; ON until 1151.28s, cooldown until 1155.28s"
1156.03,INFO,"Mister pulse started; ON until 1156.28s, cooldown until 1160.28s"
1200.02,INFO,"Mister pulse started; ON until 1200.27s, cooldown until 1204.27s"
1205.02,INFO,"Mister pulse started; ON until 1205.27s, cooldown until 1209.27s"
1239.05,INFO,"Mister pulse started; ON until 1239.30s, cooldown until 1243.30s"
1244.00,INFO,"Mister pulse started; ON until 1244.25s, cooldown until 1248.25s"
1292.02,INFO,"Mister pulse started; ON until 1292.27s, cooldown until 1296.27s"
1297.03,INFO,"Mister pulse started; ON until 1297.28s, cooldown until 1301.28s"
1335.02,INFO,"Mister pulse started; ON until 1335.27s, cooldown until 1339.27s"
1340.03,INFO,"Mister pulse started; ON until 1340.28s, cooldown until 1344.28s"
1375.03,INFO,"Mister pulse started; ON until 1375.28s, cooldown until 1379.28s"
1380.04,INFO,"Mister pulse started; ON until 1380.29s, cooldown until 1384.29s"
1416.03,INFO,"Mister pulse started; ON until 1416.28s, cooldown until 1420.28s"
1421.05,INFO,"Mister pulse started; ON until 1421.30s, cooldown until 1425.30s"
1462.04,INFO,"Mister pulse started; ON until 1462.29s, cooldown until 1466.29s"
1467.00,INFO,"Mister pulse started; ON until 1467.25s, cooldown until 1471.25s"
1505.03,INFO,"Mister pulse started; ON until 1505.28s, cooldown until 1509.28s"
1510.04,INFO,"Mister pulse started; ON until 1510.29s, cooldown until 1514.29s"
1540.04,INFO,"Mister pulse started; ON until 1540.29s, cooldown until 1544.29s"
1545.04,INFO,"Mister pulse started; ON until 1545.29s, cooldown until 1549.29s"
1590.01,INFO,"Mister pulse started; ON until 1590.26s, cooldown until 1594.26s"
1595.01,INFO,"Mister pulse started; ON until 1595.26s, cooldown until 1599.26s"
