time_from_start_s,level,message
0.00,INFO,"Mister pulse started; ON until 0.25s, cooldown until 4.25s"
5.01,INFO,"Mister pulse started; ON until 5.26s, cooldown until 9.26s"
10.02,INFO,"Mister pulse started; ON until 10.27s, cooldown until 14.27s"
15.03,INFO,"Mister pulse started; ON until 15.28s, cooldown until 19.28s"
43.01,INFO,"Mister pulse started; ON until 43.26s, cooldown until 47.26s"
62.01,INFO,"Mister pulse started; ON until 62.26s, cooldown until 66.26s"
85.03,INFO,"Mister pulse started; ON until 85.28s, cooldown until 89.28s"
106.04,INFO,"Mister pulse started; ON until 106.29s, cooldown until 110.29s"
120.02,INFO,"Mister pulse started; ON until 120.27s, cooldown until 124.27s"
129.00,INFO,"Mister pulse started; ON until 129.25s, cooldown until 133.25s"
146.04,INFO,"Mister pulse started; ON until 146.29s, cooldown until 150.29s"
161.02,INFO,"Mister pulse started; ON until 161.27s, cooldown until 165.27s"
176.04,INFO,"Mister pulse started; ON until 176.29s, cooldown until 180.29s"
186.01,INFO,"Mister pulse started; ON until 186.26s, cooldown until 190.26s"
206.04,INFO,"Mister pulse started; ON until 206.29s, cooldown until 210.29s"
231.03,INFO,"Mister pulse started; ON until 231.28s, cooldown until 235.28s"
242.03,INFO,"Mister pulse started; ON until 242.28s, cooldown until 246.28s"
262.05,INFO,"Mister pulse started; ON until 262.30s, cooldown until 266.30s"
287.03,INFO,"Mister pulse started; ON until 287.28s, cooldown until 291.28s"
300.01,INFO,"Mister pulse started; ON until 300.26s, cooldown until 304.26s"
326.03,INFO,"Mister pulse started; ON until 326.28s, cooldown until 330.28s"
337.03,INFO,"Mister pulse started; ON until 337.28s, cooldown until 341.28s"
358.03,INFO,"Mister pulse started; ON until 358.28s, cooldown until 362.28s"
369.03,INFO,"Mister pulse started; ON until 369.28s, cooldown until 373.28s"
392.01,INFO,"Mister pulse started; ON until 392.26s, cooldown until 396.26s"
413.02,INFO,"Mister pulse started; ON until 413.27s, cooldown until 417.27s"
424.02,INFO,"Mister pulse started; ON until 424.27s, cooldown until 428.27s"
447.04,INFO,"Mister pulse started; ON until 447.29s, cooldown until 451.29s"
464.02,INFO,"Mister pulse started; ON until 464.27s, cooldown until 468.27s"
485.03,INFO,"Mister pulse started; ON until 485.28s, cooldown until 489.28s"
499.02,INFO,"Mister pulse started; ON until 499.27s, cooldown until 503.27s"
527.00,INFO,"Mister pulse started; ON until 527.25s, cooldown until 531.25s"
548.01,INFO,"Mister pulse started; ON until 548.26s, cooldown until 552.26s"
562.00,INFO,"Mister pulse started; ON until 562.25s, cooldown until 566.25s"
591.01,INFO,"Mister pulse started; ON until 591.26s, cooldown until 595.26s"
611.04,INFO,"Mister pulse started; ON until 611.29s, cooldown until 615.29s"
640.00,INFO,"Mister pulse started; ON until 640.25s, cooldown until 644.25s"
665.04,INFO,"Mister pulse started; ON until 665.29s, cooldown until 669.29s"
690.02,INFO,"Mister pulse started; ON until 690.27s, cooldown until 694.27s"
721.04,INFO,"Mister pulse started; ON until 721.29s, cooldown until 725.29s"
748.05,INFO,"Mister pulse started; ON until 748.30s, cooldown until 752.30s"
761.02,INFO,"Mister pulse started; ON until 761.27s, cooldown until 765.27s"
792.05,INFO,"Mister pulse started; ON until 792.30s, cooldown until 796.30s"
817.04,INFO,"Mister pulse started; ON until 817.29s, cooldown until 821.29s"
845.02,INFO,"Mister pulse started; ON until 845.27s, cooldown until 849.27s"
865.05,INFO,"Mister pulse started; ON until 865.30s, cooldown until 869.30s"
893.03,INFO,"Mister pulse started; ON until 893.28s, cooldown until 897.28s"
913.01,INFO,"Mister pulse started; ON until 913.26s, cooldown until 917.26s"
927.01,INFO,"Mister pulse started; ON until 927.26s, cooldown until 931.26s"
955.04,INFO,"Mister pulse started; ON until 955.29s, cooldown until 959.29s"
972.02,INFO,"Mister pulse started; ON until 972.27s, cooldown until 976.27s"
993.04,INFO,"Mister pulse started; ON until 993.29s, cooldown until 997.29s"
1006.01,INFO,"Mister pulse started; ON until 1006.26s, cooldown until 1010.26s"
1036.01,INFO,"Mister pulse started; ON until 1036.26s, cooldown until 1040.26s"
1060.01,INFO,"Mister pulse started; ON until 1060.26s, cooldown until 1064.26s"
1084.01,INFO,"Mister pulse started; ON until 1084.26s, cooldown until 1088.26s"
1110.03,INFO,"Mister pulse started; ON until 1110.28s, cooldown until 1114.28s"
1140.02,INFO,"Mister pulse started; ON until 1140.27s, cooldown until 1144.27s"
1166.04,INFO,"Mister pulse started; ON until 1166.29s, cooldown until 1170.29s"
1196.03,INFO,"Mister pulse started; ON until 1196.28s, cooldown until 1200.28s"
1222.05,INFO,"Mister pulse started; ON until 1222.30s, cooldown until 1226.30s"
1251.02,INFO,"Mister pulse started; ON until 1251.27s, cooldown until 1255.27s"
1276.00,INFO,"Mister pulse started; ON until 1276.25s, cooldown until 1280.25s"
1303.00,INFO,"Mister pulse started; ON until 1303.25s, cooldown until 1307.25s"
1321.02,INFO,"Mister pulse started; ON until 1321.27s, cooldown until 1325.27s"
1341.04,INFO,"Mister pulse started; ON until 1341.29s, cooldown until 1345.29s"
1370.01,INFO,"Mister pulse started; ON until 1370.26s, cooldown until 1374.26s"
1397.03,INFO,"Mister pulse started; ON until 1397.28s, cooldown until 1401.28s"
1410.04,INFO,"Mister pulse started; ON until 1410.29s, cooldown until 1414.29s"
1436.01,INFO,"Mister pulse started; ON until 1436.26s, cooldown until 1440.26s"
1449.02,INFO,"Mister pulse started; ON until 1449.27s, cooldown until 1453.27s"
1476.01,INFO,"Mister pulse started; ON until 1476.26s, cooldown until 1480.26s"
1489.02,INFO,"Mister pulse started; ON until 1489.27s, cooldown until 1493.27s"
