time_from_start_s,temp_setpoint_c,measured_temp_c,humidity_program_setpoint_rh,humidity_control_target_rh,measured_humidity_rh,primary_heater_active,assist_heater_active,mister_active
0,30.00,29.81,39.60,39.60,39.96,1,0,0
1,30.00,29.81,39.60,39.60,39.97,1,0,0
2,30.00,29.83,39.60,39.60,39.98,1,0,0
3,30.00,29.83,39.60,39.60,39.98,1,0,0
4,30.00,29.81,39.60,39.60,39.95,1,0,0
5,30.00,29.81,39.60,39.60,39.94,1,0,0
6,30.00,29.81,39.60,39.60,39.94,1,0,0
7,30.00,29.84,39.60,39.60,39.93,1,0,0
8,30.00,29.82,39.60,39.60,39.95,1,0,0
9,30.00,29.81,39.60,39.60,39.94,1,0,0
10,30.00,29.80,39.60,39.60,39.96,1,0,0
11,30.00,29.81,39.60,39.60,39.91,1,0,0
12,30.00,29.80,39.60,39.60,39.92,1,0,0
13,30.00,29.80,39.60,39.60,39.94,1,0,0
14,30.00,29.80,39.60,39.60,39.94,1,0,0
15,30.00,29.81,39.60,39.60,39.89,1,0,0
16,30.00,29.82,39.60,39.60,39.90,1,0,0
17,30.00,29.80,39.60,39.60,39.92,1,0,0
18,30.00,29.80,39.60,39.60,39.93,1,0,0
19,30.00,29.80,39.60,39.60,39.90,1,0,0
20,30.00,29.81,39.60,39.60,39.88,1,0,0
21,30.00,29.79,39.60,39.60,39.92,1,0,0
22,30.00,29.81,39.60,39.60,39.91,1,0,0
23,30.00,29.80,39.60,39.60,39.91,1,0,0
24,30.00,29.81,39.60,39.60,39.89,1,0,0
25,30.00,29.79,39.60,39.60,39.88,1,0,0
26,30.00,29.80,39.60,39.60,39.89,1,0,0
27,30.00,29.80,39.60,39.60,39.86,1,0,0
28,30.00,29.81,39.60,39.60,39.89,1,0,0
29,30.00,29.80,39.60,39.60,39.88,1,0,0
30,30.00,29.79,39.60,39.60,39.87,1,0,0
31,30.00,29.80,39.60,39.60,39.86,1,0,0
32,30.00,29.80,39.60,39.60,39.90,1,0,0
33,30.00,29.79,39.60,39.60,39.89,1,0,0
34,30.00,29.80,39.60,39.60,39.88,1,0,0
35,30.00,29.80,39.60,39.60,39.91,1,0,0
36,30.00,29.77,39.60,39.60,39.88,1,0,0
37,30.00,29.79,39.60,39.60,39.82,1,0,0
38,30.00,29.80,39.60,39.60,39.84,1,0,0
39,30.00,29.79,39.60,39.60,39.83,1,0,0
40,30.00,29.78,39.60,39.60,39.83,1,0,0
41,30.00,29.79,39.60,39.60,39.80,1,0,0
42,30.00,29.78,39.60,39.60,39.81,1,0,0
43,30.00,29.77,39.60,39.60,39.79,1,0,0
44,30.00,29.79,39.60,39.60,39.86,1,0,0
45,30.00,29.80,39.60,39.60,39.85,1,0,0
46,30.00,29.77,39.60,39.60,39.81,1,0,0
47,30.00,29.79,39.60,39.60,39.82,1,0,0
48,30.00,29.79,39.60,39.60,39.81,1,0,0
49,30.00,29.80,39.60,39.60,39.82,1,0,0
50,30.00,29.79,39.60,39.60,39.82,1,0,0
51,30.00,29.79,39.60,39.60,39.81,1,0,0
52,30.00,29.78,39.60,39.60,39.79,1,0,0
53,30.00,29.79,39.60,39.60,39.79,1,0,0
54,30.00,29.79,39.60,39.60,39.76,1,0,0
55,30.00,29.79,39.60,39.60,39.77,1,0,0
56,30.00,29.80,39.60,39.60,39.76,1,0,0
57,30.00,29.79,39.60,39.60,39.79,1,0,0
58,30.00,29.79,39.60,39.60,39.77,1,0,0
59,30.00,29.79,39.60,39.60,39.75,1,0,0
60,30.00,29.77,39.60,39.60,39.76,1,0,0
61,30.00,29.79,39.60,39.60,39.75,1,0,0
62,30.00,29.76,39.60,39.60,39.74,1,0,0
63,30.00,29.79,39.60,39.60,39.75,1,0,0
64,30.00,29.79,39.60,39.60,39.73,1,0,0
65,30.00,29.77,39.60,39.60,39.73,1,0,0
66,30.00,29.80,39.60,39.60,39.74,1,0,0
67,30.00,29.79,39.60,39.60,39.70,1,0,0
68,30.00,29.79,39.60,39.60,39.70,1,0,0
69,30.00,29.79,39.60,39.60,39.72,1,0,0
70,30.00,29.80,39.60,39.60,39.73,1,0,0
71,30.00,29.79,39.60,39.60,39.69,1,0,0
72,30.00,29.81,39.60,39.60,39.71,1,0,0
73,30.00,29.78,39.60,39.60,39.69,1,0,0
74,30.00,29.78,39.60,39.60,39.69,1,0,0
75,30.00,29.79,39.60,39.60,39.69,1,0,0
76,30.00,29.79,39.60,39.60,39.69,1,0,0
77,30.00,29.80,39.60,39.60,39.65,1,0,0
78,30.00,29.80,39.60,39.60,39.67,1,0,0
79,30.00,29.80,39.60,39.60,39.66,1,0,0
80,30.00,29.81,39.60,39.60,39.66,1,0,0
81,30.00,29.80,39.60,39.60,39.66,1,0,0
82,30.00,29.82,39.60,39.60,39.66,1,0,0
83,30.00,29.79,39.60,39.60,39.63,1,0,0
84,30.00,29.80,39.60,39.60,39.66,1,0,0
85,30.00,29.80,39.60,39.60,39.64,1,0,0
86,30.00,29.80,39.60,39.60,39.60,1,0,0
87,30.00,29.81,39.60,39.60,39.61,1,0,0
88,30.00,29.81,39.60,39.60,39.61,1,0,0
89,30.00,29.81,39.60,39.60,39.60,1,0,0
90,30.00,29.80,39.60,39.60,39.60,1,0,0
91,30.00,29.81,39.60,39.60,39.56,1,0,1
92,30.00,29.81,39.60,39.60,39.60,1,0,0
93,30.00,29.81,39.60,39.60,39.61,1,0,0
94,30.00,29.81,39.60,39.60,39.75,1,0,0
95,30.00,29.80,39.60,39.60,39.90,1,0,0
96,30.00,29.81,39.60,39.60,40.00,1,0,0
97,30.00,29.81,39.60,39.60,40.04,1,0,0
98,30.00,29.81,39.60,39.60,40.07,1,0,0
99,30.00,29.81,39.60,39.60,40.12,1,0,0
100,30.00,29.82,39.60,39.60,40.17,1,0,0
101,30.00,29.81,39.60,39.60,40.19,1,0,0
102,30.00,29.82,39.60,39.60,40.18,1,0,0
103,30.00,29.82,39.60,39.60,40.18,1,0,0
104,30.00,29.82,39.60,39.60,40.18,1,0,0
105,30.00,29.84,39.60,39.60,40.17,1,0,0
106,30.00,29.79,39.60,39.60,40.14,1,0,0
107,30.00,29.83,39.60,39.60,40.18,1,0,0
108,30.00,29.82,39.60,39.60,40.14,1,0,0
109,30.00,29.83,39.60,39.60,40.14,1,0,0
110,30.00,29.81,39.60,39.60,40.11,1,0,0
111,30.00,29.83,39.60,39.60,40.14,1,0,0
112,30.00,29.84,39.60,39.60,40.13,1,0,0
113,30.00,29.81,39.60,39.60,40.14,1,0,0
114,30.00,29.85,39.60,39.60,40.11,1,0,0
115,30.00,29.84,39.60,39.60,40.14,1,0,0
116,30.00,29.84,39.60,39.60,40.14,1,0,0
117,30.00,29.85,39.60,39.60,40.11,1,0,0
118,30.00,29.84,39.60,39.60,40.09,1,0,0
119,30.00,29.84,39.60,39.60,40.10,1,0,0
120,30.00,29.84,39.60,39.60,40.05,1,0,0
121,30.00,29.87,39.60,39.60,40.10,1,0,0
122,30.00,29.83,39.60,39.60,40.06,1,0,0
123,30.00,29.84,39.60,39.60,40.02,1,0,0
124,30.00,29.84,39.60,39.60,40.04,1,0,0
125,30.00,29.85,39.60,39.60,40.06,1,0,0
126,30.00,29.86,39.60,39.60,40.03,1,0,0
127,30.00,29.85,39.60,39.60,40.01,1,0,0
128,30.00,29.85,39.60,39.60,40.02,1,0,0
129,30.00,29.86,39.60,39.60,40.01,1,0,0
130,30.00,29.87,39.60,39.60,39.99,1,0,0
131,30.00,29.85,39.60,39.60,40.00,1,0,0
132,30.00,29.84,39.60,39.60,39.93,1,0,0
133,30.00,29.87,39.60,39.60,39.98,1,0,0
134,30.00,29.87,39.60,39.60,39.95,1,0,0
135,30.00,29.85,39.60,39.60,39.94,1,0,0
136,30.00,29.86,39.60,39.60,39.97,1,0,0
137,30.00,29.87,39.60,39.60,39.94,1,0,0
138,30.00,29.85,39.60,39.60,39.94,1,0,0
139,30.00,29.87,39.60,39.60,39.94,1,0,0
140,30.00,29.86,39.60,39.60,39.93,1,0,0
141,30.00,29.87,39.60,39.60,39.91,1,0,0
142,30.00,29.87,39.60,39.60,39.91,1,0,0
143,30.00,29.88,39.60,39.60,39.92,1,0,0
144,30.00,29.89,39.60,39.60,39.88,1,0,0
145,30.00,29.88,39.60,39.60,39.89,1,0,0
146,30.00,29.88,39.60,39.60,39.87,1,0,0
147,30.00,29.87,39.60,39.60,39.87,1,0,0
148,30.00,29.87,39.60,39.60,39.83,1,0,0
149,30.00,29.88,39.60,39.60,39.84,1,0,0
150,30.00,29.87,39.60,39.60,39.86,1,0,0
151,30.00,29.88,39.60,39.60,39.83,1,0,0
152,30.00,29.88,39.60,39.60,39.82,1,0,0
153,30.00,29.88,39.60,39.60,39.80,1,0,0
154,30.00,29.88,39.60,39.60,39.81,1,0,0
155,30.00,29.89,39.60,39.60,39.82,1,0,0
156,30.00,29.88,39.60,39.60,39.77,1,0,0
